tempObjectNumber: 1, Title: Fragment of a terracotta skyphos (deep drinking cup),  Attribution: the Palermo Painter,  Period: Classical,  Date: ca. 430–400 B.C.,  Culture: Greek South Italian Lucanian,  Medium: Terracotta; red-figure,  Dimensions: Overall: 8 x 5 1/4in. (20.3 x 13.3cm),  Classification: Vases,  Credit Line: Rogers Fund 1911,  Accession Number: 11.212.12
tempObjectNumber: 2, Title: Bead plaque from a necklace,  Culture: Cypriot,  Medium: Silver,  Dimensions: Other: 13/16 x 1 7/16 x 5/16 in. (2.1 x 3.7 x 0.8 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3277
tempObjectNumber: 3, Title: Intaglio,  Date: 2nd century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Carnelian,  Dimensions: Other: 3/8 x 1/2 x 3/16 in. (0.9 x 1.3 x 0.4 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.462
tempObjectNumber: 21, Title: Pyxis,  Period: Late Corinthian,  Date: ca. 575–550 B.C.,  Culture: Greek Corinthian,  Medium: Terracotta,  Dimensions: H. 4 5/16 in. (11 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5890
tempObjectNumber: 22, Title: Terracotta conical-hemispherical spindle-whorl with flat base and rounded top,  Period: Middle Cypriot I–II,  Date: ca. 1900–1725 B.C.,  Culture: Cypriot,  Medium: Terracotta; handmade,  Dimensions: H. 1 1/4 in. (3.2 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.915
tempObjectNumber: 23, Title: Kyathos,  Attribution: the Philon Painter,  Period: Archaic,  Date: ca. 530–500 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: Diameter: 4 1/4 × 2 3/16 in. (10.7 × 5.6 cm),  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.116
tempObjectNumber: 24, Title: Relief of a youth girl and Eros,  Period: Late Classical,  Date: early 4th century B.C.,  Culture: Greek Boeotian,  Medium: Terracotta,  Dimensions: Other: 8 1/2 x 5 15/16 in. (21.6 x 15.1 cm),  Classification: Terracottas,  Credit Line: Fletcher Fund 1935,  Accession Number: 35.11.1
tempObjectNumber: 25, Title: Iron spit,  Period: Archaic,  Date: ca. 550 B.C.,  Culture: Etruscan,  Medium: Iron,  Dimensions: Other: 29 3/4 in. (75.6 cm),  Classification: Miscellaneous-Iron,  Credit Line: Rogers Fund 1903,  Accession Number: 03.23.55
tempObjectNumber: 26, Title: Terracotta Hadra hydria (water jar),  Period: Hellenistic,  Date: late 3rd century B.C.,  Culture: Greek Ptolemaic Cretan,  Medium: Terracotta,  Dimensions: h. 18 1/4 in. (46.4 cm); d. 10 1/8 in. (25.7 cm),  Classification: Vases,  Credit Line: Purchase 1890,  Accession Number: 90.9.32
tempObjectNumber: 27, Title: Bronze cista (toiletries box),  Period: Hellenistic,  Date: ca. 325–275 B.C.,  Culture: Praenestine,  Medium: Bronze,  Dimensions: H. 16 in. (40.6 cm),  Classification: Bronzes,  Credit Line: Gift of Courtland Field Bishop 1922,  Accession Number: 22.84.2a b
tempObjectNumber: 28, Title: Bronze cauldron,  Period: Archaic,  Date: ca. 550 B.C.,  Culture: Etruscan,  Medium: Bronze,  Dimensions: H. 12 1/2 in. (31.8 cm) diameter 16 5/16 in. (41.5 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1903,  Accession Number: 03.23.2
tempObjectNumber: 29, Title: Terracotta hydria (water jar),  Period: Late Classical,  Date: 4th century B.C.,  Culture: Greek South Italian Apulian,  Medium: Terracotta; black-glaze,  Dimensions: H. 24 1/8 in. (61.3 cm),  Classification: Vases,  Credit Line: Purchase 1900,  Accession Number: 00.10
tempObjectNumber: 30, Title: Intaglio,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Jasper red,  Dimensions: Other: 3/8 x 3/8 x 1/16 in. (1 x 1 x 0.2 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.554
tempObjectNumber: 31, Title: Terracotta plemochoe (vase for perfume),  : Assigned to Kothons Type A,  Period: Archaic,  Date: late 6th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-glaze,  Dimensions: H. 6 3/4 in. (17.2 cm),  Classification: Vases,  Credit Line: Rogers Fund 1907,  Accession Number: 07.286.46a b
tempObjectNumber: 32, Title: Bronze relief of the head of a woman,  Period: Hellenistic or Late Imperial,  Date: 3rd–1st century B.C. or 4th century A.D.,  Culture: Greek or Roman,  Medium: Bronze,  Dimensions: H. 4 3/8 in. (11.2 cm),  Classification: Bronzes,  Credit Line: Bequest of Walter C. Baker 1971,  Accession Number: 1972.118.97
tempObjectNumber: 33, Title: Marble portrait bust of a man,  Period: Early Imperial Flavian,  Date: A.D. 81–96,  Culture: Roman,  Medium: Marble,  Dimensions: H. 16 1/2 in. (41.9 cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1909,  Accession Number: 09.221.5
tempObjectNumber: 34, Title: Carnelian scarab,  Period: Hellenistic,  Date: 4th century B.C.,  Culture: Etruscan,  Medium: Carnelian,  Dimensions: Other: 3/8 x 1/2 x 1/4 in. (0.9 x 1.2 x 0.7 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.556
tempObjectNumber: 35, Title: Glass two-handled jar,  Period: Imperial,  Date: 1st–3rd century A.D.,  Culture: Roman,  Medium: Glass; blown and tooled,  Dimensions: H.: 6 5/8 in. (16.8 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.14
tempObjectNumber: 36, Title: Glass perfume bottle,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H.: 2 in. (5.1 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.106
tempObjectNumber: 37, Title: Bronze helmet with cheek-guards,  Period: Late Classical,  Date: 2nd half of 4th century B.C.,  Culture: Etruscan,  Medium: Bronze,  Dimensions: H. w/o cheekpieces 19.9,  Classification: Bronzes,  Credit Line: Rogers Fund 1908,  Accession Number: 08.2.1
tempObjectNumber: 38, Title: Vase fragment,  Period: Geometric,  Culture: East Greek/Sardis Lydian,  Medium: Terracotta,  Dimensions: Overall: 4 1/4 x 3 1/4in. (10.8 x 8.3cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.238
tempObjectNumber: 39, Title: Transparent glass scaraboid,  Period: Classical,  Date: ca. 450–400 B.C.,  Culture: Greek Ionian,  Medium: Glass transparent,  Dimensions: Length: 7/8 in. (2.3 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.558
tempObjectNumber: 40, Title: Horseman,  Period: Early Hellenistic,  Date: Early 3rd century B.C.,  Culture: Cypriot,  Medium: Terracotta; mold-made and hand-made,  Dimensions: H. 4 1/16 in. (10.3 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1659
tempObjectNumber: 41, Title: Terracotta flask,  Period: Archaic,  Date: 6th century B.C.,  Culture: Etruscan,  Medium: Terracotta; bucchero,  Dimensions: Other: 5 1/4in. (13.3cm),  Classification: Vases,  Credit Line: Purchase 1896,  Accession Number: 96.9.131
tempObjectNumber: 42, Title: Glass double cosmetic flask (kohl tube),  Period: Late Imperial,  Date: 4th–5th century A.D.,  Culture: Roman,  Medium: Glass; blown tooled and trailed,  Dimensions: H.: 4 1/4 in. (10.8 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1270
tempObjectNumber: 43, Title: Terracotta aryballos (perfume vase),  Period: Protocorinthian,  Date: 7th century B.C.,  Culture: Greek Corinthian,  Medium: Terracotta,  Dimensions: H. 2 5/8 in. (6.7 cm),  Classification: Vases,  Credit Line: Rogers Fund 1907,  Accession Number: 07.286.38
tempObjectNumber: 44, Title: Vase fragment,  Date: 1st century B.C.–1st century A.D.,  Culture: Roman,  Medium: Terracotta,  Dimensions: 2 5/16 × 1 7/16 × 3/16 in. (5.8 × 3.6 × 0.5 cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.2055
tempObjectNumber: 45, Title: Bowl fragment,  Culture: Roman,  Medium: Terracotta,  Dimensions: 7/8 × 5 7/16 × 7/16 in. (2.2 × 13.7 × 1.1 cm),  Classification: Vases,  Credit Line: Gift of Miss Matilda W. Bruce 1907,  Accession Number: 07.156.4
tempObjectNumber: 46, Title: Lamp,  Culture: Roman Cypriot,  Medium: Terracotta,  Dimensions: Overall: 7/8 x 3 1/2 in. (2.2 x 8.9 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2198
tempObjectNumber: 47, Title: Silver kyathos (cup-shaped ladle),  Period: Hellenistic,  Date: late 4th century B.C.,  Culture: Greek South Italian,  Medium: Silver,  Dimensions: H.: 8 in. (20.3 cm),  Classification: Gold and Silver,  Credit Line: Rogers Fund 1908,  Accession Number: 08.258.54
tempObjectNumber: 48, Title: Glass perfume bottle,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Other: 2 1/16in. (5.2cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.58
tempObjectNumber: 49, Title: Lead figure of a lion,  Period: Archaic,  Date: 6th–5th century B.C.,  Culture: Greek Laconian,  Medium: Lead,  Classification: Miscellaneous-Lead,  Credit Line: Gift of A. J. B. Wace 1924,  Accession Number: 24.195.113
tempObjectNumber: 50, Title: Intaglio,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Jasper red,  Dimensions: Other: 15/16 x 1 5/16 x 5/8 in. (2.3 x 3.3 x 1.6 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.204
tempObjectNumber: 51, Title: Basalt  mortar,  Period: Late Bronze Age or Geometric,  Date: ca. 1600–700 B.C.,  Culture: Cypriot,  Medium: Basalt,  Dimensions: H. 5 11/16 in. (14.5 cm); Diam. 10 1/16 in. (25.6 cm),  Classification: Miscellaneous-Stone Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5048
tempObjectNumber: 52, Title: Terracotta volute-lamp with Pegasus,  Period: Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Terracotta; mold-made,  Dimensions: H. 1 1/16 in. (2.7 cm.).,  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2099
tempObjectNumber: 53, Title: Pendant:woman's head,  Period: Classical,  Date: 5th century B.C.,  Culture: Italic,  Medium: Amber,  Dimensions: Other: 1 9/16 x 5/8 x 1 1/4 in. (4 x 1.5 x 3.1 cm),  Classification: Miscellaneous-Amber,  Credit Line: Gift of Mr. and Mrs. Jonathan P. Rosen 1992,  Accession Number: 1992.267.3
tempObjectNumber: 54, Title: Bronze phiale (libation bowl),  Period: Classical,  Date: 5th–4th century B.C.,  Culture: Etruscan,  Medium: Bronze,  Dimensions: d. 6 1/2 in. (16.5 cm),  Classification: Bronzes,  Credit Line: Bequest of Walter C. Baker 1971,  Accession Number: 1972.118.86
tempObjectNumber: 55, Title: Bead pendant with lotus flowers,  Culture: Cypriot,  Medium: Gold,  Dimensions: Other (average spacer): 3/16 in. (0.4 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3298
tempObjectNumber: 56, Title: Terracotta mask in the shape of the head of a fox dog or bat,  Period: Cypro-Archaic II,  Date: ca. 600–480 B.C.,  Culture: Cypriot,  Medium: Terracotta; handmade,  Dimensions: Diameter 4 5 /16'' (11cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1761
tempObjectNumber: 57, Title: Cippus,  Date: ca. 1st century A.D.,  Culture: Roman,  Medium: Limestone,  Dimensions: Overall: 24 1/4 x 12 1/4 in. (61.6 x 31.1 cm),  Classification: Cesnola Inscriptions,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2387
tempObjectNumber: 58, Title: Terracotta rhyton (vase for libations or drinking),  Period: Hellenistic,  Date: late 4th–early 3rd century B.C.,  Culture: Greek South Italian Apulian Tarentine,  Medium: Terracotta,  Dimensions: H.: 6 1/8 in. (15.6 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.258
tempObjectNumber: 59, Title: Pair of gold armbands,  Period: Hellenistic,  Date: ca. 200 B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Other (height-tritoness armband): 10 7/16in. (26.5cm),  Classification: Gold and Silver,  Credit Line: Rogers Fund 1956,  Accession Number: 56.11.5 .6
tempObjectNumber: 60, Title: Jasper intaglio: Harpocrates seated on a lotus,  Period: Imperial,  Date: ca. 2nd–3rd century A.D.,  Culture: Roman,  Medium: Jasper,  Dimensions: H.: 1 1/16 x 15/16 in. (2.7 x 2.4 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.638
tempObjectNumber: 61, Title: Glass cup,  Period: Late Imperial,  Date: 3rd century A.D.,  Culture: Roman,  Medium: Glass; blown in a dip mold,  Dimensions: H. 2 3/16 in. (5.6 cm) diameter  2 7/8 in. (7.3 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.85
tempObjectNumber: 62, Title: Intaglio,  Culture: Roman,  Medium: Nicolo,  Dimensions: Other: 5/16 x 7/16 x 1/8 in. (0.8 x 1.1 x 0.3 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.895
tempObjectNumber: 63, Title: Beads,  Medium: Silver glass,  Dimensions: Diameter (largest bead): 3/8 in. (0.9 cm),  Classification: Gold and Silver,  Credit Line: Purchase by subscription 1895,  Accession Number: 95.15.290
tempObjectNumber: 64, Title: Statuette of a cock 2?,  Culture: Greek Laconian,  Medium: Lead,  Dimensions: Height: 1 1/16 in. (2.8 cm),  Classification: Miscellaneous-Lead,  Credit Line: Gift of A. J. B. Wace 1924,  Accession Number: 24.195.105
tempObjectNumber: 65, Title: Gold and garnet pin,  Period: Classical,  Date: possibly 5th–4th century B.C.,  Culture: Etruscan,  Medium: Gold garnet,  Dimensions: Other: 3 3/16 in. (8.1 cm),  Classification: Gold and Silver,  Credit Line: Purchase by subscription 1895,  Accession Number: 95.15.286
tempObjectNumber: 66, Title: Arm fragment of Aphrodite,  Medium: Bronze,  Dimensions: Other: 3 15/16 in. (10 cm),  Classification: Bronzes,  Credit Line: Gift of The Egyptian Exploration Fund 1897,  Accession Number: 97.4.138
tempObjectNumber: 67, Title: Glass bottle with stylized grape decoration,  Period: Late Imperial,  Date: ca. 3rd century A.D.,  Culture: Roman Syrian,  Medium: Glass; blown in a three-part mold,  Dimensions: H.: 5 1/4 in. (13.3 cm),  Classification: Glass,  Credit Line: Bequest of Theodore M. Davis 1915,  Accession Number: 30.115.79
tempObjectNumber: 68, Title: Terracotta lamp in the form of a gladiator’s helmet,  Period: Mid-Imperial,  Date: 1st half of 2nd century A.D.,  Culture: Roman,  Medium: Terracotta; mold-made,  Dimensions: Overall: 3 9/16 x 3 9/16 x 3 3/8 in. (9 x 9.1 x 8.5 cm),  Classification: Terracottas,  Credit Line: Gift of Bashford Dean 1924,  Accession Number: 24.219
tempObjectNumber: 69, Title: Carnelian scaraboid with back in form of lion,  Period: Classical,  Date: late 5th century B.C.,  Culture: Greek,  Medium: Carnelian,  Dimensions: H.: 11/16 in. (1.7 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.551
tempObjectNumber: 70, Title: Intaglio,  Culture: Roman,  Medium: Carnelian,  Dimensions: Other: 1/2 x 11/16 x 3/16 in. (1.3 x 1.7 x 0.5 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.887
tempObjectNumber: 71, Title: Lead votive figurine,  Date: 7th–5th century B.C.,  Culture: Greek Laconian,  Medium: Lead,  Classification: Miscellaneous-Lead,  Credit Line: Gift of A. J. B. Wace 1924,  Accession Number: 24.195.59
tempObjectNumber: 72, Title: Earring with pendant,  Medium: Gold,  Dimensions: Other: 1/4 x 1/8 x 3/4 in. (0.7 x 0.4 x 1.8 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3815
tempObjectNumber: 73, Title: Standing draped woman (kore),  Period: Late Archaic,  Date: late 6th–early 5th century B.C.,  Culture: Etruscan,  Medium: Amber,  Dimensions: Other: 1 3/4 in. (4.5 cm),  Classification: Miscellaneous-Amber,  Credit Line: Purchase Renée E. and Robert A. Belfer Patti Cadby Birch and The Joseph Rosen Foundation Inc. Gifts and Harris Brisbane Dick Fund 1992,  Accession Number: 1992.11.21
tempObjectNumber: 74, Title: Terracotta neck-amphora (jar),  Period: Archaic,  Date: ca. 500 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: H. 13 1/16 in. (33.1 cm); diameter  8 1/8 in. (20.7 cm),  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.212
tempObjectNumber: 75, Title: Marble head of a woman,  Period: Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Marble Island,  Dimensions: Overall: 3 7/8 x 2 3/4 x 3 1/2 in. (9.8 x 7 x 8.9 cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1921,  Accession Number: 21.88.176
tempObjectNumber: 76, Title: Terracotta jug,  Period: Cypro-Archaic II,  Date: 600–480 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H. 10 5/8 in. (27 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.578
tempObjectNumber: 77, Title: Carnelian ring stone,  Period: Imperial Late Antonine,  Date: ca. A.D. 177–192,  Culture: Roman,  Medium: Sard-Carnelian ?,  Dimensions: Length: 9/16 in. (1.5 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.201
tempObjectNumber: 78, Title: Lamp,  Date: 2nd century A.D.,  Medium: Terracotta,  Dimensions: Length 8.3 cm.  H. 2.5 cm.,  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1970
tempObjectNumber: 79, Title: Gold pendant in the form of a bull's head,  Period: Late Bronze Age,  Date: ca. 1400–1050 B.C.,  Culture: Cypriot,  Medium: Gold,  Dimensions: L. 1. 3/8 in. (3.5 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3120
tempObjectNumber: 80, Title: Glass jug,  Period: Late Imperial,  Date: 4th century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Other: 4 3/16in. (10.6cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.147
tempObjectNumber: 81, Title: Terracotta mask of woman to hips,  Period: Early Hellenistic,  Date: probably late 4th–3rd century B.C.,  Culture: East Greek,  Medium: Terracotta,  Dimensions: 5 3/16 in. x 3 9/16 in. (13.2 cm x 9 cm),  Classification: Terracottas,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.164.6
tempObjectNumber: 82, Title: Bottle,  Period: Middle Cypriot,  Date: 1900–1600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 2 11/16in. (6.8cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1274
tempObjectNumber: 83, Title: Vase fragment,  Period: Early Minoan III,  Culture: Minoan,  Medium: Terracotta,  Dimensions: 1 3/16 × 1 9/16 × 1/8 in. (3.1 × 4 × 0.3 cm),  Classification: Vases,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.227
tempObjectNumber: 84, Title: Calyx-krater fragment,  Attribution: the manner of the Peleus Painter,  Period: Classical,  Date: ca. 450–440 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: 2 7/16 × 4 3/4 × 1/4 in. (6.1 × 12 × 0.6 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.141
tempObjectNumber: 85, Title: Wall painting fragment,  Date: 1st century A.D.,  Culture: Roman,  Medium: Fresco,  Dimensions: Overall: 3 1/8 x 2 15/16 x 11/16 in. (8 x 7.5 x 1.8 cm),  Classification: Miscellaneous-Paintings,  Credit Line: Gift of Miss A. Rivier 1930,  Accession Number: 30.142.11
tempObjectNumber: 86, Title: Bronze spearhead,  Period: Late Minoan III,  Date: ca. 1400–1050 B.C.,  Culture: Minoan,  Medium: Bronze,  Dimensions: L. 10 in. (25.4 cm),  Classification: Bronzes,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.484
