tempObjectNumber: 1, Title: Vase fragment,  Date: 1st century B.C.–1st century A.D.,  Culture: Roman,  Medium: Terracotta,  Dimensions: 1 1/16 × 1 11/16 × 3/16 in. (2.7 × 4.3 × 0.5 cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.2114
tempObjectNumber: 14, Title: Limestone funerary cippus (tomb marker),  Period: Imperial,  Date: 2nd–3rd century A.D.,  Culture: Roman Cypriot,  Medium: Limestone,  Dimensions: H.: 17 5/8 x 9 3/8 in. (44.8 x 23.8 cm),  Classification: Cesnola Inscriptions,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2379
tempObjectNumber: 15, Title: Glass perfume bottle,  Period: Early to Mid Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Glass,  Dimensions: Diam.: 1 7/8 x 3/4 in. (4.8 x 1.9 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5768
tempObjectNumber: 16, Title: Bronze man seated on a ball,  Period: Geometric,  Date: ca. 725–700 B.C.,  Culture: Greek,  Medium: Bronze,  Dimensions: H. 3 3/4 in. (9.5 cm),  Classification: Bronzes,  Credit Line: Edith Perry Chapman Fund 1947,  Accession Number: 47.11.7
tempObjectNumber: 17, Title: Glass dish,  Period: Late Imperial,  Date: 3rd–4th century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H.: 2 1/4 in. (5.7 cm),  Classification: Glass,  Credit Line: Bequest of Mary Anna Palmer Draper 1914,  Accession Number: 15.43.142
tempObjectNumber: 18, Title: Carnelian ring stone,  Period: Late Republican or Imperial,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Carnelian,  Dimensions: Length: 3/4 in. (1.9 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.757
tempObjectNumber: 19, Title: Lamp,  Date: 1st century B.C.–1st century A.D.,  Culture: Roman Cypriot,  Medium: Terracotta,  Dimensions: Overall: 7/8 x 3 1/2 in. (2.2 x 8.9 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2110
tempObjectNumber: 20, Title: Terracotta statuette base,  Period: Hellenistic,  Date: 3rd century B.C.,  Culture: Greek South Italian Tarentine,  Medium: Terracotta,  Dimensions: Diameter: 4 1/8 in. (10.5 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1911,  Accession Number: 11.212.37
tempObjectNumber: 21, Title: Gold and amethyst earring,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Gold amethyst,  Dimensions: Other: 1 1/8 in. (2.9 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3973
tempObjectNumber: 22, Title: Terracotta lekythos (oil flask),  Period: Archaic,  Date: ca. 515 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: diameter of foot  3 3/4 in. (9.5 cm),  Classification: Vases,  Credit Line: Fletcher Fund 1956,  Accession Number: 56.171.33
tempObjectNumber: 23, Title: Buckle,  Medium: Bronze,  Dimensions: Other: 2 9/16 in. (6.5 cm),  Classification: Bronzes,  Credit Line: Purchase 1898,  Accession Number: 98.11.15
tempObjectNumber: 24, Title: Shepherd's crook or staff,  Medium: Bronze,  Dimensions: Other: 1 1/2 x 21 in. (3.8 x 53.3 cm),  Classification: Bronzes,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.738
tempObjectNumber: 25, Title: Terracotta askos (flask with a spout and handle),  Period: Late Classical,  Date: 4th century B.C.,  Culture: Greek South Italian Campanian,  Medium: Terracotta; black-glaze,  Dimensions: H. 3 1/4 in. (8.3 cm),  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.45
tempObjectNumber: 26, Title: Chisel or awl ?,  Period: Early Iron Age,  Medium: Bronze,  Dimensions: Other: 7 5/16in. (18.6cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5385
tempObjectNumber: 27, Title: Terracotta amphora (jar),  Attribution: the manner of Lydos,  Period: Archaic,  Date: ca. 540 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: diameter of foot  7 7/8 in. (20 cm),  Classification: Vases,  Credit Line: Rogers Fund 1951,  Accession Number: 51.11.3
tempObjectNumber: 28, Title: Horn-like object,  Medium: Silver,  Dimensions: 7/8 × 1 × 3 13/16 in. (2.2 × 2.5 × 9.8 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4595
tempObjectNumber: 29, Title: Terracotta askos (flask with a spout and handle over the top),  Period: Late Classical,  Date: 4th century B.C.,  Culture: Native Italic Daunian,  Medium: Terracotta,  Dimensions: length  9 3/8 in. (23.8 cm),  Classification: Vases,  Credit Line: Rogers Fund 1970,  Accession Number: 1970.11.14
tempObjectNumber: 30, Title: Glass one-handled beaker,  Period: Late Imperial,  Date: 3rd–4th century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Diam.: 2 1/16 x 2 3/4 x 1 7/8 in. (5.2 x 7 x 4.8 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.247
tempObjectNumber: 31, Title: Needle,  Culture: Cypriot,  Medium: Bronze,  Dimensions: Other: 7 15/16in. (20.2cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5486
tempObjectNumber: 32, Title: Gold roundel of bulbous form,  Period: Late Bronze Age,  Date: ca. 1600–1050 B.C.,  Culture: Cypriot,  Medium: Gold,  Dimensions: Diam.: 1 1/2 in. (3.8 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3035
tempObjectNumber: 33, Title: Gold earrings,  Period: Late Classical,  Date: 4th–early 3rd century B.C.,  Culture: Etruscan,  Medium: Gold,  Dimensions: Other (.2): 2 in. (5.1 cm),  Classification: Gold and Silver,  Credit Line: Funds from various donors 1918,  Accession Number: 18.103.1 .2
tempObjectNumber: 34, Title: Marble relief fragment with a male figure,  Period: early Imperial,  Culture: Roman,  Medium: Marble,  Dimensions: 11 1/4 x 5 15/16 x 2 3/4in. (28.6 x 15.1 x 7cm),  Classification: Stone Sculpture,  Credit Line: Gift of John Marshall 1923,  Accession Number: 23.249
tempObjectNumber: 35, Title: Fragment of a terracotta architectural tile,  Period: Archaic,  Date: 6th century B.C.,  Culture: Lydian,  Medium: Terracotta,  Dimensions: Overall: 8 7/8 x 5 1/4 in. (22.5 x 13.3 cm),  Classification: Terracottas,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.71
tempObjectNumber: 36, Title: Seal,  Culture: Minoan Crete,  Medium: Quartz smoky,  Dimensions: Other: 1/2 x 3/16 in. (1.2 x 0.5 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.229
tempObjectNumber: 37, Title: Statuette of a woman,  Medium: Bronze,  Dimensions: H.: 3 7/16 in. (8.7 cm),  Classification: Bronzes,  Credit Line: Purchase 1896,  Accession Number: 96.9.383
tempObjectNumber: 38, Title: Plate,  Period: Iron Age,  Date: ca. 1050–900 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: Other: 1 15/16 x 4 15/16 in. (4.9 x 12.5 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.868
tempObjectNumber: 39, Title: Painted limestone funerary slab with a man controlling a rearing horse,  Period: Hellenistic,  Date: 2nd half of 3rd century B.C.,  Culture: Greek,  Medium: Limestone paint,  Dimensions: H.: 15 1/2 x 2 3/4 in. (39.4 x 7 cm),  Classification: Miscellaneous-Paintings,  Credit Line: Gift of Darius Ogden Mills 1904,  Accession Number: 04.17.3
tempObjectNumber: 40, Title: Terracotta calyx-krater (mixing bowl),  Period: Late Classical,  Date: ca. 350–300 B.C.,  Culture: Greek South Italian Apulian Gnathian,  Medium: Terracotta; applied color,  Dimensions: H. 14 1/2 in. (36.8 cm),  Classification: Vases,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.464
tempObjectNumber: 41, Title: Terracotta canopic urn,  Period: Archaic,  Date: 6th century B.C.,  Culture: Etruscan Chiusi or environs,  Medium: Terracotta,  Dimensions: Other: 24 1/2 x 15 x 11 1/2 in. (62.2 x 38.1 x 29.2 cm),  Classification: Vases,  Credit Line: Purchase 1896,  Accession Number: 96.9.118a b
tempObjectNumber: 42, Title: Marble sarcophagus with garlands and the myth of Theseus and Ariadne,  Period: Hadrianic or early Antonine,  Date: ca. A.D. 130–150,  Culture: Roman,  Medium: Marble Luni and Pentelic,  Dimensions: Overall: 31 x 85 3/4 x 28in. (78.7 x 217.8 x 2.3 cm),  Classification: Stone Sculpture,  Credit Line: Purchase by subscription 1890,  Accession Number: 90.12a b
tempObjectNumber: 43, Title: Marble bowl,  Period: Early Cycladic II,  Date: ca. 2700–2400 B.C.,  Culture: Cycladic,  Medium: Marble,  Dimensions: diameter  5 13/16in. (14.8cm),  Classification: Miscellaneous-Stone Vases,  Credit Line: Gift of Takis Efstathiou in memory of George and Barbara Chimes 1999,  Accession Number: 1999.342
tempObjectNumber: 44, Title: Terracotta Hadra hydria (water jar),  Period: Hellenistic,  Date: 3rd century B.C.,  Culture: Greek Egypt Alexandria-Hadra,  Medium: Terracotta; white-ground,  Dimensions: Overall: 15 x 11 in. (38.1 x 27.9 cm),  Classification: Vases,  Credit Line: Purchase 1890,  Accession Number: 90.9.69
tempObjectNumber: 45, Title: Terracotta pelike (jar),  Attribution: the Altamura Painter,  Period: Classical,  Date: ca. 470 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H. 16 3/4 in. (42.6 cm); diameter of mouth  7 1/2 in. (19 cm); diameter of foot  8 3/16 in. (20.8 cm),  Classification: Vases,  Credit Line: Fletcher Fund 1956,  Accession Number: 56.171.44
tempObjectNumber: 46, Title: Cup bilingual inscribed  fragments 9,  Attribution: Oltos,  Period: Archaic,  Date: ca. 520 B.C.,  Culture: Greek Attic,  Medium: Terracotta; bilingual,  Classification: Vases,  Credit Line: Gift of Dietrich von Bothmer 1972,  Accession Number: 1972.229a–i
tempObjectNumber: 47, Title: Cup,  Period: Geometric,  Date: 8th century B.C.,  Culture: Greek Attic,  Medium: Terracotta,  Dimensions: 2 1/16in. (5.3cm),  Classification: Vases,  Credit Line: Gift of the Greek Government 1930,  Accession Number: 30.118.46
tempObjectNumber: 48, Title: Hasp,  Culture: Cypriot,  Medium: Bronze,  Dimensions: Other: 4 1/16in. (10.3cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5538
tempObjectNumber: 49, Title: Glass perfume bottle,  Period: Early to Mid Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Diam.: 7/8 x 3/4 in. (2.2 x 1.9 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5812
tempObjectNumber: 50, Title: Glass perfume bottle,  Period: Early to Mid Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Overall: 3 7/8 x 2 3/16 x 1 in. (9.8 x 5.6 x 2.5 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5834
tempObjectNumber: 51, Title: Ring with scarab,  Medium: Silver agate,  Dimensions: Diam. (Ring diameter): 1 7/16 in. (3.7 cm),  Classification: Gems,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4190
tempObjectNumber: 52, Title: Chalcedony scaraboid seal,  Period: Classical,  Date: ca. 450–400 B.C.,  Culture: Greek Ionian ?,  Medium: Chalcedony,  Dimensions: Length: 1 1/8 in. (2.8 cm),  Classification: Gems,  Credit Line: Rogers Fund 1907,  Accession Number: 07.286.121
tempObjectNumber: 53, Title: Oinochoe,  Medium: Silver,  Dimensions: 3 × 4 11/16 in. (7.6 × 11.9 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4589
tempObjectNumber: 54, Title: Nail,  Medium: Bronze,  Dimensions: Other: 8 13/16 in. (22.4 cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5371
tempObjectNumber: 55, Title: Intaglio,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Amethyst,  Dimensions: Other: 3/8 x 7/16 x 1/4 in. (0.9 x 1.1 x 0.6 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.974
tempObjectNumber: 56, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 1 x 2 in. (2.5 x 5 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1837
tempObjectNumber: 57, Title: Amphoriskos,  Period: Cypro-Geometric I,  Date: 1050–950 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H. 5 15/16 in. (15.1 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1263
tempObjectNumber: 58, Title: Handle of a bowl,  Culture: Cypriot,  Medium: Bronze,  Dimensions: Other: 2 3/4in. (7cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5442
tempObjectNumber: 59, Title: Sword and sheath,  Date: 8th–7th century B.C.,  Culture: Italic,  Medium: Bronze,  Dimensions: Other (.e): 4 1/2 in. (11.4 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1909,  Accession Number: 09.221.27a–c e
tempObjectNumber: 60, Title: Limestone statue of a sphinx,  Period: Archaic,  Date: ca. 550–525 B.C.,  Culture: Greek Attic,  Medium: Limestone,  Dimensions: width  18 3/4in. (47.7cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1943,  Accession Number: 43.11.6
tempObjectNumber: 61, Title: Spindle whorl,  Culture: Cypriot,  Medium: Bone ?,  Dimensions: Diameter: 1 1/16 x 1/4 in. (2.7 x 0.7 cm),  Classifications: Miscellaneous-Bone Ivory,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5234
tempObjectNumber: 62, Title: Terracotta krater,  Period: Late Cypriot III,  Date: ca. 1150–1100 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: diameter  12 1/16 in. (30.7 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.429
tempObjectNumber: 63, Title: Standing female figurine,  Period: Late Cypro-Archaic II,  Date: Early 5th century B.C.,  Culture: Cypriot,  Medium: Terracotta; mold-made,  Dimensions: H. 3 5/8 in. (9.2 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1737
tempObjectNumber: 64, Title: Gold necklace of beads and tubes,  Period: Hellenistic,  Date: ca. 330–300 B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Other (Length of spherical beads): 3/8in. (0.9cm),  Classification: Gold and Silver,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1217.3
tempObjectNumber: 65, Title: Ivory die,  Date: ca. 1st–3rd century A.D.,  Culture: Roman,  Medium: Ivory,  Dimensions: Overall: 11/16 x 11/16 in. (1.7 x 1.7 cm),  Classifications: Miscellaneous-Bone Ivory,  Credit Line: Purchase 1896,  Accession Number: 96.9.450
tempObjectNumber: 66, Title: Amphora,  Period: Iron Age,  Date: ca. 1050–900 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H.: 21 5/16 in. (54.1 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.968
tempObjectNumber: 67, Title: Cauldron,  Period: Cypro-Archaic Probably,  Date: ca. 7th century B.C.?,  Culture: Cypriot,  Medium: Bronze,  Dimensions: Other (diameter of mouth): 8 7/8in. (22.5cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5633
tempObjectNumber: 68, Title: Cup,  Period: Geometric,  Date: 8th century B.C.,  Culture: Greek Attic,  Medium: Terracotta,  Dimensions: 1 15/16in. (5cm),  Classification: Vases,  Credit Line: Gift of the Greek Government 1930,  Accession Number: 30.118.6
tempObjectNumber: 69, Title: Horse and rider,  Period: Cypro-Classical II,  Date: early 4th century B.C.,  Culture: Cypriot,  Medium: Terracotta; mold-made and hand-made,  Dimensions: H. 6 1/16 in. (15.4 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1785
tempObjectNumber: 70, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 7/8 x 1 5/16 in. (2.1 x 3.4 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1931
tempObjectNumber: 71, Title: Terracotta stemless kylix (drinking cup),  Period: Classical,  Date: 5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-glaze,  Dimensions: H. 2 3/8 in. (6.1 cm); diameter  6 in. (15.3 cm); width with handles  8 9/16 in. (21.8 cm),  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.223
tempObjectNumber: 72, Title: Terracotta kylix: eye-cup (drinking cup),  Period: Archaic,  Date: ca. 520 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: diameter of bowl  11 5/16 in. (28.8 cm),  Classification: Vases,  Credit Line: Fletcher Fund 1956,  Accession Number: 56.171.36
tempObjectNumber: 73, Title: Oinochoe miniature,  Period: Iron Age,  Date: ca. 1050–900 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H.: 3 5/16 in. (8.4 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.958
tempObjectNumber: 74, Title: Bronze lamp,  Period: Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Bronze,  Dimensions: H. 8 cm; L. 12.6 cm; Diameter 5.5 cm,  Classification: Bronzes,  Credit Line: Gift of The Stanley-Whitman House 1986,  Accession Number: 1986.66
tempObjectNumber: 75, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 11/16 x 1 7/16 in. (1.7 x 3.6 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1955
tempObjectNumber: 76, Title: Spoon probe,  Medium: Silver,  Dimensions: 13/16 × 5 5/8 in. (2.1 × 14.2 cm),  Classification: Gold and Silver,  Credit Line: Rogers Fund 1917,  Accession Number: 17.230.112
tempObjectNumber: 77, Title: Glass perfume bottle,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H.: 3 3/8 in. (8.6 cm),  Classification: Glass,  Credit Line: Bequest of Mary Anna Palmer Draper 1914,  Accession Number: 15.43.240
tempObjectNumber: 78, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Overall: 13/16 in. 6.1lb. (2 cm 2.8kg),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1921
tempObjectNumber: 79, Title: Aryballos,  Period: Middle Corinthian,  Date: early 6th century B.C.,  Culture: Greek Corinthian,  Medium: Terracotta,  Dimensions: H. 3 1/4 in. (8.3 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1417
tempObjectNumber: 80, Title: Vase fragment,  Period: Neolithic second period,  Date: ca. 4000–3000 B.C.,  Culture: Neolithic Thessaly,  Medium: Terracotta,  Dimensions: length  3 1/4in. (8.2cm),  Classification: Vases,  Credit Line: Anonymous Gift 1930,  Accession Number: 30.119.10
tempObjectNumber: 81, Title: Glass stirring rod,  Period: Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Glass; drawn trailed and tooled,  Dimensions: Other: 4 3/4 in. (12.1 cm),  Classification: Glass,  Credit Line: Bequest of Mary Anna Palmer Draper 1914,  Accession Number: 15.43.262
tempObjectNumber: 82, Title: Bronze statuette of a lion,  Period: Archaic,  Date: late 6th century B.C.,  Culture: Greek,  Medium: Bronze,  Dimensions: H.: 5 3/8 in. (13.7 cm),  Classification: Bronzes,  Credit Line: Bequest of Walter C. Baker 1971,  Accession Number: 1972.118.62
tempObjectNumber: 83, Title: Marble female figure,  Period: Early Cycladic II,  Date: 2300–2200 B.C.,  Culture: Cycladic,  Medium: Marble,  Dimensions: H. 10 3/4 in. (27.3 cm),  Classification: Stone Sculpture,  Credit Line: Bequest of Alice K. Bache 1977,  Accession Number: 1977.187.11
tempObjectNumber: 84, Title: Intaglio,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Carnelian,  Dimensions: Other: 5/8 x 3/8 x 3/16 in. (1.6 x 1 x 0.4 cm),  Classification: Gems,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4286
tempObjectNumber: 85, Title: Bronze needle,  Period: Early Minoan III-Late Minoan I,  Date: ca. 2400–1450 B.C.,  Culture: Minoan,  Medium: Bronze,  Dimensions: L. 5 1/4 in. (13.4 cm.),  Classification: Bronzes,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.3
tempObjectNumber: 86, Title: Lampstand,  Culture: Cypriot,  Medium: Iron,  Dimensions: Other (height of vase): 6in. (15.2cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5635
tempObjectNumber: 87, Title: Fragment of a terracotta plaque,  Period: Classical,  Date: late 5th century B.C.,  Culture: Greek,  Medium: Terracotta,  Dimensions: 3 5/8 in. x 3 in. (9.2 cm x 7.6 cm),  Classification: Terracottas,  Credit Line: Gift of the Archaeological Institute of America 1953,  Accession Number: 53.5.41
tempObjectNumber: 88, Title: Bronze statuette of a lion,  Period: Archaic,  Date: 6th century B.C.,  Culture: Etruscan,  Medium: Bronze,  Dimensions: H. 3 3/4 in. (9.6 cm),  Classification: Bronzes,  Credit Line: Bequest of Walter C. Baker 1971,  Accession Number: 1972.118.58
tempObjectNumber: 89, Title: Ribbed glass bowl,  Period: Late Hellenistic,  Date: 1st century B.C.,  Culture: Greek Eastern Mediterranean,  Medium: Glass; cast tooled and cut,  Dimensions: Diam.: 6 in. (15.3 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.196
tempObjectNumber: 90, Title: Bronze horse,  Period: Geometric,  Date: mid-8th century B.C.,  Culture: Greek,  Medium: Bronze,  Dimensions: H. 3 5/16 in. (8.4 cm),  Classification: Bronzes,  Credit Line: Gift of the H. L. Bache Foundation 1969,  Accession Number: 69.61.4
