tempObjectNumber: 1, Title: Hasp,  Medium: Bronze,  Dimensions: Other: 3in. (7.6cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5347
tempObjectNumber: 2, Title: Bell,  Date: 4th century B.C.,  Culture: Cypriot,  Medium: Bronze,  Dimensions: 7/16in. (1.1cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5629
tempObjectNumber: 27, Title: Silver cochlear (spoon),  Period: Late Republican,  Date: mid-1st century B.C.,  Culture: Roman,  Medium: Silver,  Dimensions: length  4 1/2in. (11.5cm),  Classification: Gold and Silver,  Credit Line: Rogers Fund 1920,  Accession Number: 20.49.12
tempObjectNumber: 28, Title: Vase fragment,  Period: Early Minoan III,  Culture: Minoan,  Medium: Terracotta,  Dimensions: 2 1/4 × 2 3/8 × 3/16 in. (5.7 × 6 × 0.6 cm),  Classification: Vases,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.171
tempObjectNumber: 29, Title: Gold earring with head of a lion,  Period: Classical or Hellenistic,  Date: 4th‒3rd century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Other: 11/16 x 1/4 x 11/16 in. (1.7 x 0.7 x 1.8 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3496
tempObjectNumber: 30, Title: Marble portrait of Marciana sister of the emperor Trajan,  Period: Hadrianic,  Date: ca. A.D. 130–138,  Culture: Roman,  Medium: Marble,  Dimensions: H. 12 1/4 in. (31.1 cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1920,  Accession Number: 20.200
tempObjectNumber: 31, Title: Terracotta stirrup jar,  Period: Late Minoan III,  Date: ca. 1400–1200 B.C.,  Culture: Minoan,  Medium: Terracotta; Fine painted ware,  Dimensions: H. 3 1/8 in. (8 cm),  Classification: Vases,  Credit Line: The Cesnola Collection by exchange 1914,  Accession Number: 14.89.12
tempObjectNumber: 32, Title: Vase fragment,  Period: Early Minoan III,  Culture: Minoan,  Medium: Terracotta,  Dimensions: 2 1/8 × 1 1/4 × 1/8 in. (5.4 × 3.1 × 0.3 cm),  Classification: Vases,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.190
tempObjectNumber: 33, Title: Mosaic glass fragment,  Period: Early Imperial,  Date: late 1st century B.C.–early 1st century A.D.,  Culture: Roman,  Medium: Glass; cast,  Dimensions: Overall: 1 x 1 1/2 in. (2.5 x 3.8 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1724
tempObjectNumber: 34, Title: Ribbed glass bowl,  Period: Early Imperial,  Date: late 1st century B.C.–mid-1st century A.D.,  Culture: Roman Syro-Palestinian or Italian,  Medium: Glass; cast tooled and cut,  Dimensions: Diam.: 4 5/8 in. (11.8 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1347
tempObjectNumber: 35, Title: Glass bowl decorated with four busts in roundels,  Period: Late Imperial,  Date: 4th century A.D.,  Culture: Roman,  Medium: Glass; blown and cut,  Dimensions: diameter  3 3/4 in. (9.5 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.318
tempObjectNumber: 36, Title: Glass double head-shaped flask,  Period: Mid Imperial Severan,  Date: early 3rd century A.D.,  Culture: Roman Cypriot,  Medium: Glass; mold-blown,  Dimensions: 3 3/16 x 1 3/4in. (8.1 x 4.5cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.318
tempObjectNumber: 37, Title: Bowl,  Period: Archaic or Classical,  Date: ca. 550–450 B.C.,  Culture: Italic-Native South Italian (Daunian),  Medium: Terracotta,  Dimensions: H. 8.51 cm. Diameter 15.49 cm.,  Classification: Vases,  Credit Line: Rogers Fund 1966,  Accession Number: 66.11.7
tempObjectNumber: 38, Title: Vase,  Culture: Roman,  Medium: Terracotta,  Dimensions: H. 8.31 cm. Diameter 8.25 cm.,  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.842
tempObjectNumber: 39, Title: Chalcedony scaraboid seal,  Period: Classical,  Date: ca. 5th–4th century B.C.,  Culture: Greek Ionian,  Medium: Chalcedony,  Dimensions: L. 3.7 cm,  Classification: Gems,  Credit Line: Gift of Joseph Brummer 1949,  Accession Number: 49.43.9
tempObjectNumber: 40, Title: Terracotta antefix,  Period: Early Imperial Augustan,  Date: late 1st century B.C.–early 1st century A.D.,  Culture: Roman,  Medium: Terracotta,  Dimensions: 14 1/2 x 9 9/16 in.  (36.8 x 24.3 cm),  Classification: Terracottas,  Credit Line: Purchase by subscription 1896,  Accession Number: 96.18.162
tempObjectNumber: 41, Title: Earring,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: Other: 9/16 x 3/8 x 5/16 in. (1.5 x 1 x 0.8 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3208
tempObjectNumber: 42, Title: Juglet,  Period: Cypro-Archaic II ?,  Date: 600–480 B.C.?,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H. 4 15/16 in. (12.5 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.425
tempObjectNumber: 43, Title: Statue of a deity,  Period: Archaic,  Culture: Greek,  Medium: Terracotta,  Dimensions: H.: 4 9/16 in. (11.6 cm),  Classification: Terracottas,  Credit Line: Gift of Mrs. Lucy W. Drexel 1889,  Accession Number: 89.2.2139
tempObjectNumber: 44, Title: Vase fragment,  Culture: Roman Gaul,  Medium: Terracotta,  Dimensions: 2 5/16 × 2 9/16 × 1/4 in. (5.9 × 6.6 × 0.7 cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.2071
tempObjectNumber: 45, Title: Terracotta statuette of Harpocrates,  Period: Imperial,  Date: 2nd century A.D.,  Culture: Roman Egyptian,  Medium: Terracotta; mold-made,  Dimensions: H.: 7 1/2 in. (19 cm),  Classification: Terracottas,  Credit Line: Gift of Mrs. Lucy W. Drexel 1889,  Accession Number: 89.2.2002
tempObjectNumber: 46, Title: Terracotta amphora (jar),  Attribution: the Group of Brussels R 243,  Period: Archaic,  Date: ca. 540 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: H. 10 9/16 in. (26.9 cm),  Classification: Vases,  Credit Line: Fletcher Fund 1940,  Accession Number: 40.11.20
tempObjectNumber: 47, Title: Lamp convex top,  Culture: Greek or Roman,  Medium: Terracotta,  Dimensions: Overall: 1 1/4 x 3 1/8 in. (3.2 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1876
tempObjectNumber: 48, Title: Bronze spearhead,  Period: Early Cypriot III,  Date: ca. 2000–1900 B.C.,  Culture: Cypriot,  Medium: Bronze,  Dimensions: length  19 3/16 in. (48.7 cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5275
tempObjectNumber: 49, Title: Marble bust of Herakles,  Period: Roman,  Culture: Roman,  Medium: Marble,  Dimensions: Other: 30 5/8 in. (77.8 cm),  Classification: Stone Sculpture,  Credit Line: Gift of Mrs. Frederick F. Thompson 1903,  Accession Number: 03.12.6
tempObjectNumber: 50, Title: Faience amulet of Bes image,  Period: Early Third Intermediate Period,  Date: ca. 1090–1000 B.C.,  Culture: Egyptian,  Medium: Clay glazed,  Dimensions: H.: 2 13/16 in. (7.1 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4471
tempObjectNumber: 51, Title: Bronze statuette of Herakles,  Date: 5th–4th century B.C.,  Culture: Italic,  Medium: Bronze,  Dimensions: H. 3 1/4 in. (8.3 cm),  Classification: Bronzes,  Credit Line: Purchase 1896,  Accession Number: 96.9.273
tempObjectNumber: 52, Title: Pinhead,  Culture: Roman,  Medium: Glass,  Dimensions: Height: 1/2 x 5/8 in. (1.3 x 1.6 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.549
tempObjectNumber: 53, Title: Terracotta inkwell and bronze stylus,  Period: Imperial,  Date: 1st‒2nd century A.D.,  Culture: Roman,  Medium: Terracotta,  Dimensions: diameter  2 15/16 in. (7.5 cm),  Classification: Vases,  Credit Line: Fletcher Fund 1926,  Accession Number: 26.60.34
tempObjectNumber: 54, Title: Statuette of a woman preparing bread,  Period: Classical,  Date: mid-5th century B.C.,  Culture: Greek Boeotian,  Medium: Terracotta,  Dimensions: length of plinth  3 7/16 in. (8.7 cm),  Classification: Terracottas,  Credit Line: Fletcher Fund 1936,  Accession Number: 36.11.4
tempObjectNumber: 55, Title: Faience amulet in the form of the dwarf god Pataikos,  Period: Third Intermediate Period,  Date: ca. 1090–900 B.C.,  Culture: Egyptian,  Medium: Clay glazed,  Dimensions: H.: 1 1/2 in. (3.8 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4465
tempObjectNumber: 56, Title: Lamp,  Culture: Roman Cypriot,  Medium: Terracotta,  Dimensions: Overall: 1 x 3 3/8 in. (2.5 x 8.6 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2187
tempObjectNumber: 57, Title: Sard intaglio,  Period: Imperial,  Culture: Roman,  Medium: Sard,  Dimensions: Other: 9/16 x 7/16 x 1/8 in. (1.5 x 1.1 x 0.3 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.312
tempObjectNumber: 58, Title: Terracotta sherd from the mouth of a vase with neck ridge,  Period: Late Minoan I,  Date: ca. 1600–1450 B.C.,  Culture: Minoan,  Medium: Terracotta; Dark on Light,  Dimensions: Other: 2 9/16 x 3 3/8 in. (6.5 x 8.6 cm),  Classification: Vases,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.87b
tempObjectNumber: 59, Title: Gold pendant with tassels,  Period: Archaic,  Date: 7th–6th century B.C.,  Culture: Cypriot,  Medium: Gold,  Dimensions: Diam.: 1 1/4 in. (3.2 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3323
tempObjectNumber: 60, Title: Gold ring,  Period: Archaic,  Date: 5th century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Length: 5/8 in. (1.6 cm),  Classification: Gems,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4058
tempObjectNumber: 61, Title: Steatite Lentoid,  Period: Late Minoan IIIA,  Date: ca. 1400–1375 B.C.,  Culture: Minoan,  Medium: Steatite,  Dimensions: Diam.: 11/16 in. (1.7 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.335
tempObjectNumber: 62, Title: Bronze statuette of Athena,  Period: Imperial,  Date: ca. 2nd–3rd century A.D.,  Culture: Roman,  Medium: Bronze,  Dimensions: 4 5/16in. (11cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5578
tempObjectNumber: 63, Title: Mosaic glass inlay,  Period: Hellenistic,  Date: 1st century B.C.–1st century A.D.,  Culture: Egyptian Roman,  Medium: Glass; cast,  Dimensions: Other: 1 7/16 in. (3.6 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.380
tempObjectNumber: 64, Title: Ear pick,  Medium: Bone,  Dimensions: Other: 3/16 x 4 9/16 x 3/16 in. (0.6 x 11.5 x 0.5 cm),  Classifications: Miscellaneous-Bone Ivory,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5195
tempObjectNumber: 65, Title: Terracotta neck-amphora (jar),  Attribution: the Painter of London B 235,  Period: Archaic,  Date: ca. 530 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: H. 13 9/16 in. (34.5 cm),  Classification: Vases,  Credit Line: Fletcher Fund 1926,  Accession Number: 26.60.20
tempObjectNumber: 66, Title: Terracotta bell-krater (mixing bowl),  Period: Classical,  Date: early 4th century B.C.,  Culture: Etruscan Faliscan,  Medium: Terracotta; red-figure,  Dimensions: diameter  19 7/16 in. (49.4 cm),  Classification: Vases,  Credit Line: Purchase by subscription 1896,  Accession Number: 96.18.37
tempObjectNumber: 67, Title: Terracotta plate,  Attribution: Paseas,  Period: Archaic,  Date: ca. 510 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: Diam.: 7 1/2 in. (19.1 cm),  Classification: Vases,  Credit Line: The Bothmer Purchase Fund and Gift of Andrés A. Mata 2010,  Accession Number: 2010.64
tempObjectNumber: 68, Title: Bronze ribbed situla (bucket) with two handles,  Period: Archaic,  Date: ca. 550 B.C.,  Culture: Etruscan,  Medium: Bronze,  Dimensions: H. 7 5/8 in. (19.4 cm) diameter  8 13/16 in. (22.4 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1903,  Accession Number: 03.23.20
tempObjectNumber: 69, Title: Glass gold-band mosaic bottle,  Period: Early Imperial Julio-Claudian,  Date: 1st half of 1st century A.D.,  Culture: Roman,  Medium: Glass; cast and blown and cut,  Dimensions: H. 4 1/8 in. (10.5 cm),  Classification: Glass,  Credit Line: H.O. Havemeyer Collection Bequest of Mrs. H.O. Havemeyer 1929,  Accession Number: 29.100.88
tempObjectNumber: 70, Title: Lead figure of a warrior with a spear and shield,  Period: Archaic,  Date: 6th–5th century B.C.,  Culture: Greek Laconian,  Medium: Lead,  Classification: Miscellaneous-Lead,  Credit Line: Gift of A. J. B. Wace 1924,  Accession Number: 24.195.78
tempObjectNumber: 71, Title: Terracotta lekythos (oil flask),  Attribution: the Sappho Painter,  Period: Archaic,  Date: ca. 500 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure white-ground,  Dimensions: H. 6 13/16 in. (17.3 cm); diameter  2 13/16 in. (7.2 cm),  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.29
tempObjectNumber: 72, Title: Vase fragment,  Date: 1st century B.C.–1st century A.D.,  Culture: Roman,  Medium: Terracotta,  Dimensions: 3 9/16 × 2 3/8 × 1/4 in. (9.1 × 6.1 × 0.7 cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.2092
tempObjectNumber: 73, Title: Euthydikos Kore (upper part),  : Emile Gilliéron,  Medium: Plaster ( at some point this piece was attached to 24.113.3),  Dimensions: Overall: 22 13/16 in. (57.9 cm),  Credit Line: Lent by the Metropolitan Museum of Art,  Accession Number: 24.113.2
tempObjectNumber: 74, Title: Vase fragment,  Period: Late Minoan I,  Date: ca. 1600–1450 B.C.,  Culture: Minoan,  Medium: Terracotta,  Dimensions: 1 9/16 × 1 15/16 × 3/16 in. (4 × 4.9 × 0.5 cm),  Classification: Vases,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.88e
tempObjectNumber: 75, Title: Chariot fragments sockets with Medusa masks,  Period: Archaic,  Date: ca. 500–480 B.C.,  Culture: Etruscan,  Medium: Bronze,  Dimensions: H. D1  2 3/16 in. (5.6 cm); H. D2  1 15/16 in. (5 cm); H. D3  1 15/16 in. (4.9 cm),  Classification: Bronzes,  Credit Line: Fletcher Fund 1929,  Accession Number: 29.131.3d1–d3
tempObjectNumber: 76, Title: Limestone votive toe,  Period: Late Classical–Hellenistic,  Date: 4th or 3rd century B.C.,  Culture: Cypriot,  Medium: Limestone,  Dimensions: H. 3in. (7.5 cm); W. 2 7/8 in. (7.4 cm),  Classification: Miscellaneous-Stone,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5173
tempObjectNumber: 77, Title: Gold roundel of bulbous form,  Period: Late Bronze Age,  Date: ca. 1600–1050 B.C.,  Culture: Cypriot,  Medium: Gold,  Dimensions: Diam.: 1 1/2 in. (3.8 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3027
tempObjectNumber: 78, Title: Lamp,  Date: 1st century B.C.–1st century A.D.,  Medium: Terracotta,  Dimensions: Overall: 1 5/8 x 3 7/8 in. (4.1 x 9.8 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2056
tempObjectNumber: 79, Title: Earring-loop type plain,  Medium: Gold,  Dimensions: Other: 11/16 x 1/8 x 13/16 in. (1.8 x 0.3 x 2 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3832
tempObjectNumber: 80, Title: Alabaster alabastron (perfume vase),  Period: Classical,  Date: 5th–4th century B.C.,  Culture: Cypriot,  Medium: Alabaster,  Dimensions: H. 10 3/4 x 2 9/16 in. (27.3 x 6.5 cm),  Classification: Miscellaneous-Stone Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5125
tempObjectNumber: 81, Title: Gold box ring surmounted by a scarab,  Period: Classical,  Date: ca.330–310 B.C.,  Culture: Greek,  Medium: gold,  Dimensions: H.: 1 1/4 in. (3.2 cm),  Classification: Miscellaneous-Amber,  Credit Line: Purchase Schultz Foundation Gift 2010,  Accession Number: 2010.226
tempObjectNumber: 82, Title: Intaglio,  Medium: Sard,  Dimensions: Other: 5/8 x 1/2 x 1/8 in. (1.6 x 1.3 x 0.3 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.212
tempObjectNumber: 83, Title: Urn in the form of a hut,  Period: Modern,  Culture: Modern after Villanovan,  Medium: Bronze,  Dimensions: Other: 11 9/16 x 14 1/4 in. (29.4 x 36.2 cm),  Classification: Bronzes,  Credit Line: Fletcher Fund 1938,  Accession Number: 38.11.14
tempObjectNumber: 84, Title: Limestone statuette of a temple boy,  Period: Hellenistic,  Date: 4th century B.C.,  Culture: Cypriot,  Medium: Limestone,  Dimensions: H. 15 9/16 inch (39.50 cm.),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2754
tempObjectNumber: 85, Title: Terracotta statuette of a woman reclining on a couch,  Period: Hellenistic,  Date: probably late 3rd–2nd century B.C.,  Culture: East Greek,  Medium: Terracotta,  Dimensions: Overall: 3 5/8 x 6 1/2 in. (9.2 x 16.6 cm),  Classification: Terracottas,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.55
tempObjectNumber: 86, Title: Alabaster alabastron (perfume vase),  Period: Archaic or Classical,  Date: 6th–5th century B.C.,  Culture: Cypriot,  Medium: Calcite (alabaster),  Dimensions: H. 8 3/16in. (20.8cm); Diam. 3 1/2 in. (8.9 cm),  Classification: Miscellaneous-Stone Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5089
tempObjectNumber: 87, Title: Roundel disk with coin impressions,  Date: 4th century B.C.,  Medium: Gold,  Dimensions: Diameter: 1/2 x 3/16 in. (1.3 x 0.5 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3667
tempObjectNumber: 88, Title: Fragment of a terracotta vase,  Attribution: the Lion Painter,  Period: Archaic,  Date: ca. 630–620 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: greatest width  4 1/16in. (10.3cm),  Classification: Vases,  Credit Line: Fletcher Fund 1938,  Accession Number: 38.11.10
