tempObjectNumber: 1, Title: Vase Fragment,  Date: 1st century B.C.–1st century A.D.,  Culture: Roman,  Medium: Terracotta,  Dimensions: 1 1/16 × 1 3/16 × 3/8 in. (2.7 × 3 × 0.9 cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.2043
tempObjectNumber: 12, Title: Glass spouted jug,  Period: Imperial,  Date: 2nd–3rd century A.D.,  Culture: Roman,  Medium: Glass; blown tooled and trailed,  Dimensions: H.: 5 1/4 in. (13.3 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.191
tempObjectNumber: 13, Title: Lead figure of a warrior with a helmet and shield,  Period: Archaic,  Date: 6th–5th century B.C.,  Culture: Greek Laconian,  Medium: Lead,  Classification: Miscellaneous-Lead,  Credit Line: Gift of A. J. B. Wace 1924,  Accession Number: 24.195.62
tempObjectNumber: 14, Title: Kylix or stamnos fragments,  Attribution: the Kleophrades Painter,  Period: Late Archaic,  Date: ca. 490 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Classification: Vases,  Credit Line: Gift of Bruce P. McNall 1976,  Accession Number: 1976.244.1a–d
tempObjectNumber: 15, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 13/16 x 15/16 in. (2.1 x 2.4 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1913
tempObjectNumber: 16, Title: Pair of gold a baule earrings,  Period: Archaic,  Date: 6th century B.C.,  Culture: Etruscan,  Medium: Gold,  Dimensions: H.: 1 3/8 x 15/16 in. (3.4 x 2.4 cm),  Classification: Gold and Silver,  Credit Line: Rogers Fund 1959,  Accession Number: 59.11.21 .22
tempObjectNumber: 17, Title: Gold earring with agate bead,  Period: Late Republican–Early Imperial,  Date: late 1st century B.C.–2nd century A.D.,  Culture: Roman,  Medium: Gold agate,  Dimensions: Other: 1 9/16 in. (4 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3936
tempObjectNumber: 18, Title: Intaglio,  Medium: Jasper,  Dimensions: Other: 1/2 x 3/4 x 1/8 in. (1.2 x 2 x 0.3 cm),  Classification: Gems,  Credit Line: Gift of Miss Helen Miller Gould 1910,  Accession Number: 10.130.1415
tempObjectNumber: 19, Title: Gold earring with head of a bull,  Period: Classical or Hellenistic,  Date: 4th–3rd century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Other: 9/16 x 1/4 x 11/16 in. (1.5 x 0.6 x 1.8 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3417
tempObjectNumber: 20, Title: Cameo,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Glass blue,  Dimensions: Other: 11/16 x 1/2 x 3/16 in. (1.8 x 1.3 x 0.5 cm),  Classification: Gems,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.13
tempObjectNumber: 21, Title: Limestone statuette of a temple boy,  Period: Hellenistic,  Date: 310–30 B.C.,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 10 x 9 3/4 x 3 in. (25.4 x 24.8 x 7.6 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2758
tempObjectNumber: 22, Title: Glass intaglio,  Culture: Greek or Roman,  Medium: Glass blue paste,  Dimensions: Other: 5/8 x 11/16 x 1/4 in. (1.5 x 1.7 x 0.6 cm),  Classification: Gems,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.54
tempObjectNumber: 23, Title: Nail,  Medium: Bronze,  Dimensions: Other: 2 5/8in. (6.7cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5369
tempObjectNumber: 24, Title: Terracotta lamp,  Period: Early Imperial,  Date: ca. A.D. 40–100,  Culture: Roman Cypriot,  Medium: Terracotta; mold-made,  Dimensions: 15/16 x 3 7/16 in.  (2.4 x 8.7 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1850
tempObjectNumber: 25, Title: Garnet (pyrope) ring stone,  Period: Imperial,  Date: ca. 1st century A.D.–3rd century A.D.,  Culture: Roman,  Medium: Garnet (pyrope),  Dimensions: Length: 1/2 in. (1.2 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.165
tempObjectNumber: 26, Title: Glass perfume bottle,  Period: Mid Imperial,  Date: 2nd–3rd century A.D.,  Culture: Roman,  Medium: Glass; blown and tooled,  Dimensions: Overall: 1 1/2 x 1 1/16in. (3.8 x 2.6cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.175
tempObjectNumber: 27, Title: Pendant: siren,  Period: Classical,  Date: early 5th century B.C.,  Culture: Italic,  Medium: Amber,  Dimensions: H.: 2 5/16 in. (5.9 cm),  Classification: Miscellaneous-Amber,  Credit Line: Purchase Renée E. and Robert A. Belfer Patti Cadby Birch and The Joseph Rosen Foundation Inc. Gifts and Harris Brisbane Dick Fund 1992,  Accession Number: 1992.11.9
tempObjectNumber: 28, Title: Gold earring with pelta disc and pearl setting,  Period: Late Imperial,  Date: 3rd century A.D.,  Culture: Roman,  Medium: Gold pearl,  Dimensions: Other: 7/16 x 5/16 x 9/16 in. (1.2 x 0.7 x 1.4 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3818
tempObjectNumber: 29, Title: Monochrome glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 1 x 1 1/4 in. (2.6 x 3.1 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1651
tempObjectNumber: 30, Title: Bronze mirror,  Period: Late Classical,  Date: ca. 350 B.C.,  Culture: Etruscan,  Medium: Bronze,  Dimensions: diameter  6 3/8in. (16.2cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1909,  Accession Number: 09.221.16
tempObjectNumber: 31, Title: Marble head from a herm,  Period: Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Marble,  Dimensions: length  8 1/4 in. (21 cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1913,  Accession Number: 13.231.2
tempObjectNumber: 32, Title: Vase fragment,  Culture: East Greek/Sardis Lydian,  Medium: Terracotta,  Dimensions: Overall: 4 3/8 x 2 1/4in. (11.1 x 5.7cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.107
tempObjectNumber: 33, Title: Intaglio,  Culture: Roman,  Medium: Jasper black,  Dimensions: Other: 7/16 x 5/16 x 1/16 in. (1.1 x 0.8 x 0.2 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.870
tempObjectNumber: 34, Title: Terracotta jug,  Period: Late Cypriot I,  Date: ca. 1600–1450 B.C.,  Culture: Cypriot,  Medium: Terracotta; Base-Ring Ware,  Dimensions: H. 6 3/8 in. (16.2 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1140
tempObjectNumber: 35, Title: Ten marble fragments of the Great Eleusinian Relief,  Period: Early Imperial Augustan,  Date: ca. 27 B.C.–A.D. 14,  Culture: Roman,  Medium: Marble,  Dimensions: H. 89 3/8 in. (227 cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1914,  Accession Number: 14.130.9
tempObjectNumber: 36, Title: Ring,  Medium: Lead,  Dimensions: Other: 5/8 × 9/16 × 1/2 in. (1.5 × 1.5 × 1.2 cm),  Classification: Miscellaneous-Lead,  Credit Line: Rogers Fund 1911,  Accession Number: 11.212.46
tempObjectNumber: 37, Title: Lamp concave top,  Date: 1st century B.C.–1st century A.D.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: Overall: 15/16 x 3 9/16 in. (2.4 x 9.1 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1844
tempObjectNumber: 38, Title: Chalcedony Disk,  Period: Middle Minoan III,  Date: ca. 1700–1600 B.C.,  Culture: Minoan,  Medium: Chalcedony,  Dimensions: Overall: 5/8 x 5/8 in. (1.6 x 1.6 cm),  Classification: Gems,  Credit Line: Gift of Arthur Sambon 1912,  Accession Number: 12.214
tempObjectNumber: 39, Title: Intaglio,  Medium: Glass-purple,  Dimensions: Other: 1/2 x 5/8 x 1/8 in. (1.2 x 1.5 x 0.3 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.1067
tempObjectNumber: 40, Title: Relief from casket,  Culture: Roman,  Medium: Ivory,  Dimensions: Other: 4 1/8 x 2 5/16 x 3/16 in. (10.4 x 5.8 x 0.4 cm),  Classifications: Miscellaneous-Bone Ivory,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.190.95
tempObjectNumber: 41, Title: Limestone statuette of Herakles as an archer,  Culture: Cypriot,  Medium: Limestone,  Dimensions: H. 15 3/4 x 2 7/8 x 3 3/8 in. (40 x 7.4 x 8.6 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2653
tempObjectNumber: 42, Title: Glass eye bead,  Period: Early Imperial,  Date: ca. 1st century A.D.,  Culture: Roman (?),  Medium: Glass; rod-formed,  Dimensions: 7/16 x 1 1/16in. (1.1 x 2.7cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.341
tempObjectNumber: 43, Title: Chariot fragments socket with satyr mask,  Period: Archaic,  Date: ca. 500–480 B.C.,  Culture: Etruscan,  Medium: Bronze,  Dimensions: H. of mask  2 7/8 in. (7.3 cm); length of socket  4 in. (10.2 cm),  Classification: Bronzes,  Credit Line: Fletcher Fund 1929,  Accession Number: 29.131.3s
tempObjectNumber: 44, Title: Terracotta plate,  : Signed by Epiktetos as painter,  Period: Archaic,  Date: ca. 520–510 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: Diam.: 7 3/8 in. (18.7 cm),  Classification: Vases,  Credit Line: Purchase The Bothmer Purchase Fund and Schimmel Foundation Inc. and Christos G. Bastis Gifts 1981,  Accession Number: 1981.11.10
tempObjectNumber: 45, Title: Bowl,  Period: Late Cypriot,  Date: 1600–1050 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 2 3/16in. (5.6cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1015
tempObjectNumber: 46, Title: Glass bowl,  Period: Early Imperial,  Date: late 1st century B.C.–early 1st century A.D.,  Culture: Roman,  Medium: Glass; cast,  Dimensions: Diam.: 4 3/4 in. (12.1 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1264
tempObjectNumber: 47, Title: Squat lekythos miniature,  Period: Classical,  Date: ca. 400 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: Diameter: 2 3/8 × 1 1/4 × 1 7/8 in. (6 × 3.2 × 4.8 cm),  Classification: Vases,  Credit Line: Gift of Francis Neilson 1942,  Accession Number: 42.201.2
tempObjectNumber: 48, Title: Agate lentoid seal,  Period: Late Minoan II–IIIA,  Date: ca. 1450–1375 B.C.,  Culture: Minoan,  Medium: Agate,  Dimensions: H.: 7/8 x 13/16 in. (2.2 x 2.1 cm),  Classification: Gems,  Credit Line: Rogers Fund 1907,  Accession Number: 07.286.129
tempObjectNumber: 49, Title: Vase fragment,  Culture: East Greek/Sardis Lydian,  Medium: Terracotta,  Dimensions: Overall: 5 7/8 x 3 1/2in. (14.9 x 8.9cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.229
tempObjectNumber: 50, Title: Lamp,  Culture: Greek or Roman,  Medium: Terracotta,  Dimensions: Overall: 1 1/4 x 3 3/8 in. (3.2 cm 3 3/8 in.),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1886
tempObjectNumber: 51, Title: Lekythos,  Attribution: near the Thanatos Painter,  Period: Classical,  Date: ca. 440–430 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure white-ground,  Dimensions: Diameter: 3 15/16 × 2 3/8 × 2 11/16 in. (10 × 6.1 × 6.8 cm),  Classification: Vases,  Credit Line: Rogers Fund 1911,  Accession Number: 11.212.8
tempObjectNumber: 52, Title: Glass flask,  Period: Mid Imperial,  Date: 2nd–3rd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Diam.: 2 5/8 x 1 5/8 in. (6.7 x 4.1 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5776
tempObjectNumber: 53, Title: Terracotta head of a goddess,  Period: Early Hellenistic,  Date: 3rd century B.C.,  Culture: Greek Cypriot,  Medium: Terracotta; mold-made and handmade,  Dimensions: H. 2 3/4 in. (7 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1533
tempObjectNumber: 54, Title: Terracotta lamp,  Period: Late Imperial,  Date: 5th–6th century A.D.,  Culture: Roman,  Medium: Terracotta; mold-made,  Dimensions: Overall: 1 3/16 x 3 1/2 in. (3 x 8.9 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1858
tempObjectNumber: 55, Title: Terracotta stamnos (jar),  Attribution: the Captives Group,  Period: Late Classical,  Date: ca. 350 B.C.,  Culture: Faliscan,  Medium: Terracotta; red-figure,  Dimensions: H. 14 5/16 in. (36.4 cm),  Classification: Vases,  Credit Line: Purchase by subscription 1896,  Accession Number: 96.18.61
tempObjectNumber: 56, Title: Glass perfume bottle,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H.: 3 1/4 in. (8.3 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1262
tempObjectNumber: 57, Title: intaglio,  Medium: red jasper,  Dimensions: Other: 3/8 x 7/16 x 1/8 in. (0.9 x 1.1 x 0.3 cm),  Classification: Gems,  Accession Number: 10.130.1416
tempObjectNumber: 58, Title: Nicolo ring stone,  Period: Imperial,  Date: ca. 3rd quarter of the 3rd century A.D.,  Culture: Roman,  Medium: Nicolo,  Dimensions: L. 2.3 cm,  Classification: Gems,  Credit Line: Gift of Rupert L. Joseph 1952,  Accession Number: 52.10
tempObjectNumber: 59, Title: Glass pourer flask,  Period: Mid Imperial,  Date: mid 2nd–early 3rd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H.: 2 9/16 in. (6.5 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5774
tempObjectNumber: 60, Title: Ring pendant with scaraboid,  Culture: Cypriot,  Medium: Silver agate,  Dimensions: Other (width of ring): 1 1/8 in. (2.8 cm),  Classification: Gems,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4168
tempObjectNumber: 61, Title: Glass perfume bottle,  Period: Early to Mid Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Glass; blown and cut,  Dimensions: H.: 4 13/16 in. (12.2 cm),  Classification: Glass,  Credit Line: Bequest of Mary Anna Palmer Draper 1914,  Accession Number: 15.43.224
tempObjectNumber: 62, Title: Bronze crossbow fibula (brooch),  Period: Late Imperial or Late Antique,  Date: 4th century A.D.,  Culture: Roman,  Medium: Bronze,  Dimensions: Other: 2 x 3 in. (5.1 x 7.6 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1907,  Accession Number: 07.286.100
tempObjectNumber: 63, Title: Pelike,  Period: Late Classical,  Date: ca. 350–325 B.C.,  Culture: Greek South Italian Apulian,  Medium: Terracotta; red-figure,  Dimensions: Diameter: 5 1/8 × 4 5/8 × 3 7/16 in. (13 × 11.8 × 8.7 cm),  Classification: Vases,  Credit Line: Gift of L. P. di Cesnola 1876,  Accession Number: 76.12.12
tempObjectNumber: 64, Title: Fragment of a terracotta architectural tile,  Period: Archaic,  Date: 6th century B.C.,  Culture: Lydian,  Medium: Terracotta,  Dimensions: Overall: 3 5/8 x 6 in. (9.2 x 15.2 cm),  Classification: Terracottas,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.74
tempObjectNumber: 65, Title: Glass perfume bottle,  Period: Mid Imperial,  Date: 2nd–3rd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Diam.: 2 1/2 x 1 1/8 in. (6.4 x 2.9 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.104
tempObjectNumber: 66, Title: Vase fragment,  Period: Early Minoan III,  Culture: Minoan,  Medium: Terracotta,  Dimensions: 2 × 1 7/8 × 2 7/16 in. (5 × 4.8 × 6.1 cm),  Classification: Vases,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.73
tempObjectNumber: 67, Title: Ear probe,  Medium: Bronze,  Dimensions: Other: 5 11/16 in. (14.4 cm),  Classification: Bronzes,  Credit Line: Fletcher Fund 1925,  Accession Number: 25.78.122
tempObjectNumber: 68, Title: Askos in the form of a bird,  Period: Early Cypriot,  Date: 2500–1900 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 5 3/8in. (13.7cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1227
tempObjectNumber: 69, Title: Glass cantharus (cup with two handles),  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: 4in. (10.2cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.61
tempObjectNumber: 70, Title: Ring,  Medium: Gold,  Dimensions: Diameter: 3/4 × 5/16 in. (2 × 0.8 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4112
tempObjectNumber: 71, Title: Gold earring with head of a bull,  Period: Classical or Hellenistic,  Date: 4th–3rd century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Other: 1/2 x 1/4 x 9/16 in. (1.3 x 0.7 x 1.5 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3432
tempObjectNumber: 72, Title: Gold ring with stone missing from bezel,  Period: Late Archaic,  Date: early 5th century B.C.,  Culture: Etruscan,  Medium: Gold,  Dimensions: Diam.: 1 in. (2.5 cm),  Classification: Gold and Silver,  Credit Line: Harris Brisbane Dick Fund 1940,  Accession Number: 40.11.17
tempObjectNumber: 73, Title: Bronze scalpel,  Period: Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Bronze,  Dimensions: Length     8.71 cm.,  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5326
tempObjectNumber: 74, Title: Glass perfume bottle,  Period: Early to Mid Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: 2 13/16in. (7.2cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5796
tempObjectNumber: 75, Title: Glass alabastron (perfume bottle),  Period: Hellenistic,  Date: 2nd–mid 1st century B.C.,  Culture: Greek Eastern Mediterranean,  Medium: Glass; core-formed Group III,  Dimensions: Diam.: 1 9/16 in. (3.9 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.584
tempObjectNumber: 76, Title: Intaglio,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Carnelian,  Dimensions: Other: 5/8 x 1/2 x 1/8 in. (1.6 x 1.2 x 0.3 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.198
tempObjectNumber: 77, Title: Glass square bottle,  Period: Mid Imperial,  Date: 2nd to 3rd century A.D.,  Culture: Roman,  Medium: Glass; mold-blown,  Dimensions: Overall: 6 1/2 x 3 3/8 x 3 1/2 in. (16.5 x 8.6 x 8.9 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.220
tempObjectNumber: 78, Title: Glass alabastron (perfume vase),  Period: Archaic,  Date: ca. 625–600 B.C.,  Culture: Greek Eastern Mediterranean,  Medium: Glass; cast and cut,  Dimensions: diameter  2 5/8 in. (6.7 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.312
tempObjectNumber: 79, Title: Terracotta phiale (libation bowl),  Period: Hellenistic,  Date: late 3rd–early 2nd century B.C.,  Culture: Greek South Italian Campanian Calenian,  Medium: Terracotta; black-glaze,  Dimensions: Other: 8in. (20.3cm),  Classification: Vases,  Credit Line: Purchase by subscription 1896,  Accession Number: 96.18.144
tempObjectNumber: 80, Title: Glass alabastron (perfume bottle),  Period: Late Hellenistic,  Date: 2nd–1st century B.C.,  Culture: Greek Eastern Mediterranean,  Medium: Glass; core-formed Group III,  Dimensions: Diam.: 1 7/16 x 1 1/4 in. (3.6 x 3.1 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.599
tempObjectNumber: 81, Title: Fibula,  Culture: Roman,  Medium: Bronze,  Dimensions: H.: 3/4 x 2 x 5/16 in. (1.9 x 5.1 x 0.8 cm),  Classification: Bronzes,  Credit Line: Bequest of Theodore M. Davis 1915,  Accession Number: 30.115.84
tempObjectNumber: 82, Title: Terracotta lid of a stamnos (jar),  Attribution: the Menelaos Painter,  Period: Classical,  Date: ca. 450 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: Diam.: 10 3/16 in. (25.9 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.68b
tempObjectNumber: 83, Title: Bronze relief from a mirror,  Period: Late Classical,  Date: 4th century B.C.,  Culture: Greek,  Medium: Bronze,  Dimensions: W. 5 1/4 in. (13.3 cm.),  Classification: Bronzes,  Credit Line: Rogers Fund 1907,  Accession Number: 07.286.88
tempObjectNumber: 84, Title: Statuette of an old woman,  Medium: Terracotta,  Dimensions: H.: 5 1/8 in. (13 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1907,  Accession Number: 07.286.8
tempObjectNumber: 85, Title: Intaglio,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Plasma,  Dimensions: Other: 3/8 x 5/16 x 3/16 in. (0.9 x 0.8 x 0.4 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.86
tempObjectNumber: 86, Title: Fragmentary terracotta relief with a lyre-carrying youth on the back of a ketos (sea creature),  Period: Hellenistic,  Date: 3rd century B.C.,  Culture: Greek South Italian Tarentine,  Medium: Terracotta,  Dimensions: Overall: 9 1/4 x 5 5/8in. (23.5 x 14.3cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1920,  Accession Number: 20.221
tempObjectNumber: 87, Title: Shield bearer,  Period: Cypro-Archaic I,  Date: ca. 750–600 B.C.,  Culture: Cypriot,  Medium: Terracotta; wheel-made and hand-made,  Dimensions: H. 5 3/4 in. (14.6 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1655
tempObjectNumber: 88, Title: Vase fragment,  Period: Helladic,  Culture: Aegean,  Medium: Terracotta,  Dimensions: 2 3/16 × 2 9/16 × 5/16 in. (5.5 × 6.5 × 0.8 cm),  Classification: Vases,  Credit Line: Anonymous Gift 1933,  Accession Number: 33.138.3
