Title,Period,Date,Culture,Medium,Dimensions,Classification,Credit Line,Accession Number
Bronze oinochoe (jug),Archaic,ca. 550 B.C.,Etruscan,Bronze,H. 9 3/4 in. (24.8 cm),Bronzes,Rogers Fund 1903,03.23.21
Bronze situla (bucket),Archaic,ca. 550 B.C.,Etruscan,Bronze,H. 9 15/16 in. (25.3 cm) diameter 11 7/8 in. (30.2 cm),Bronzes,Rogers Fund 1903,03.23.22
Bronze lid,Archaic,ca. 550–525 B.C.,Etruscan,Bronze,diameter  9 5/8in. (24.5cm),Bronzes,Rogers Fund 1903,03.23.23
Bronze spit,Archaic,ca. 550 B.C.,Etruscan,Bronze,H. 40 15/16 in. (104 cm),Bronzes,Rogers Fund 1903,03.23.24
Bronze spit,Archaic,ca. 550–525 B.C.,Etruscan,Bronze,H. 39 5/16 in. (99.9 cm),Bronzes,Rogers Fund 1903,03.23.25
Bronze spit,Archaic,ca. 550–525 B.C.,Etruscan,Bronze,H. 42 1/8 in. (107 cm),Bronzes,Rogers Fund 1903,03.23.26
Bronze spit,Archaic,ca. 550–525 B.C.,Etruscan,Bronze,H. 39 3/4 in. (101 cm),Bronzes,Rogers Fund 1903,03.23.27
Bronze spit,Archaic,ca. 550–525 B.C.,Etruscan,Bronze,H. 39 5/16 in. (99.9 cm),Bronzes,Rogers Fund 1903,03.23.28
Patera,NULL-PERIOD,NULL-DATE,Etruscan,Bronze,diameter  19 1/16 in. (48.4 cm),Bronzes,Rogers Fund 1903,03.23.29
Bronze handled basin with three feet,Archaic,ca. 550 B.C.,Etruscan,Bronze,H. 10 1/2 in. (26.7 cm) diameter 23 in. (58.4 cm),Bronzes,Rogers Fund 1903,03.23.3
Patera,NULL-PERIOD,NULL-DATE,Etruscan,Bronze,diameter  19 3/16 in. (48.8 cm),Bronzes,Rogers Fund 1903,03.23.30
Bronze patera (salver),Archaic,ca. 550 B.C.,Etruscan,Bronze,diameter  18 1/16 in. (45.9 cm),Bronzes,Rogers Fund 1903,03.23.31
Bronze patera (salver),Archaic,ca. 550 B.C.,Etruscan,Bronze,diameter  19 in. (48.3 cm),Bronzes,Rogers Fund 1903,03.23.32
Bronze patera (salver),Archaic,ca. 550 B.C.,Etruscan,Bronze,diameter  18 7/8 in. (48 cm),Bronzes,Rogers Fund 1903,03.23.33
Patera,NULL-PERIOD,NULL-DATE,Etruscan,Bronze,diameter  18 3/16 in. (46.2 cm),Bronzes,Rogers Fund 1903,03.23.34
Patera,NULL-PERIOD,NULL-DATE,Etruscan,Bronze,diameter  19 in. (48.3 cm),Bronzes,Rogers Fund 1903,03.23.35
Bronze patera (salver),Archaic,ca. 550 B.C.,Etruscan,Bronze,diameter  19 1/2 in. (49.5 cm),Bronzes,Rogers Fund 1903,03.23.36
Patera,NULL-PERIOD,NULL-DATE,Etruscan,Bronze,diameter  19 1/8 in. (48.6 cm),Bronzes,Rogers Fund 1903,03.23.37
Iron fire-dog,Archaic,ca. 550 B.C.,Etruscan,Iron,length  39 1/4in. (99.7cm),Miscellaneous-Iron,Rogers Fund 1903,03.23.38
Iron fire-dog,Archaic,ca. 550 B.C.,Etruscan,Iron,length  37 7/8 in. (96.2 cm),Miscellaneous-Iron,Rogers Fund 1903,03.23.39
Bronze patera (salver),Archaic,ca. 550 B.C.,Etruscan,Bronze,H. 2 3/8 in. (6 cm) diameter 18 7/16 in. (46.8 cm),Bronzes,Rogers Fund 1903,03.23.4
Iron fire-grate,Archaic,ca. 550 B.C.,Etruscan,Iron,H. 3 1/4 in (8.3 cm) width 11 3/4 in (29.9 cm) length 14 5/16 in. (36.4 cm),Miscellaneous-Iron,Rogers Fund 1903,03.23.40
Four iron spearheads,Archaic,ca. 550 B.C.,Etruscan,Iron,H. (.44): 8 7/8 in. (22.5 cm),Miscellaneous-Iron,Rogers Fund 1903,03.23.41–.44
Two bronze swinging handles perhaps from phialai (libation bowls),Archaic,ca. 550 B.C.,Etruscan,Bronze,Other: 3 5/16 x 2 3/16 in. (8.4 x 5.5 cm),Bronzes,Rogers Fund 1903,03.23.45 .46
Bronze swinging handle perhaps from phiale (libation bowl),Archaic,ca. 550 B.C.,Etruscan,Bronze,Other: 4 1/2 x 2 5/8 in. (11.4 x 6.7 cm),Bronzes,Rogers Fund 1903,03.23.47
Bronze pin with snake-head terminal,Archaic,ca. 550 B.C.,Etruscan,Bronze,H.: 9 15/16 in. (25.2 cm),Bronzes,Rogers Fund 1903,03.23.48a
Bronze patera (salver),Archaic,ca. 550 B.C.,Etruscan,Bronze,diameter  18 7/8 in. (48 cm),Bronzes,Rogers Fund 1903,03.23.5
Iron fragments,NULL-PERIOD,NULL-DATE,NULL-CULTURE,IRON,NULL-DIMENSIONS,Miscellaneous-Iron,Rogers Fund 1903,03.23.50
Iron horse bit,Archaic,ca. 550 B.C.,Etruscan,Iron,Other: 6 3/16 in. (15.7 cm),Miscellaneous-Iron,Rogers Fund 1903,03.23.51
Horse bit,NULL-PERIOD,NULL-DATE,NULL-CULTURE,NULL-MEDIUM,Other: 7 1/2 in. (19.1 cm),Miscellaneous-Iron,Rogers Fund 1903,03.23.52
Iron tripod,Archaic,ca. 575–550 B.C.,Etruscan,Iron,H.: 22 5/16 in. (56.7 cm),Miscellaneous-Iron,Rogers Fund 1903,03.23.53
Bronze frog,Archaic,ca. 575–550 B.C.,Etruscan,Bronze,Other: 2 3/8 in. (6 cm),Miscellaneous-Iron,Rogers Fund 1903,03.23.54
Iron spit,Archaic,ca. 550 B.C.,Etruscan,Iron,Other: 29 3/4 in. (75.6 cm),Miscellaneous-Iron,Rogers Fund 1903,03.23.55
Bronze cauldron with swinging handle,Archaic,ca. 550 B.C.,Etruscan,Bronze,H. 8 3/8 in. (21.3 cm) diameter 14 15/16 in. (37.9 cm),Bronzes,Rogers Fund 1903,03.23.6
Bronze cauldron and lid,Archaic,ca. 550 B.C.,Etruscan,Bronze,diameter of mouth  6 1/4 in. (15.9 cm),Bronzes,Rogers Fund 1903,03.23.7
Bronze patera (salver),Archaic,ca. 550 B.C.,Etruscan,Bronze,diameter  18 7/16 in. (46.8 cm),Bronzes,Rogers Fund 1903,03.23.8
Bronze patera (salver),Archaic,ca. 550 B.C.,Etruscan,Bronze,diameter  18 3/4 in. (47.6 cm),Bronzes,Rogers Fund 1903,03.23.9
Bronze oinochoe (jug),Hellenistic,early 3rd century B.C.,Etruscan,Bronze,H. 14 in. (35.6 cm),Bronzes,Rogers Fund 1903,03.24.1
Bronze candelabrum,Hellenistic,early 3rd century B.C.,Etruscan,Iron,H.: 13 1/2 in. (34.3 cm),Miscellaneous-Iron,Rogers Fund 1903,03.24.10
Three fragmentary iron fire-rakes,Late Classical or Hellenistic,late 4th or early 3rd century B.C.,Etruscan,Iron,H. (.12): 7 7/16 in. (18.9 cm),Miscellaneous-Iron,Rogers Fund 1903,03.24.11 .12
Knife blade,Late Classical or Hellenistic,late 4th or early 3rd century B.C.,Etruscan,Iron,Other: 8 1/16 in. (20.5 cm),Miscellaneous-Iron,Rogers Fund 1903,03.24.13
Iron spit,Late Classical or Hellenistic,late 4th or early 3rd century B.C.,Etruscan,Iron,Other: 23 3/8 in. (59.4 cm),Miscellaneous-Iron,Rogers Fund 1903,03.24.14
Iron fire-tongs,Late Classical or Hellenistic,late 4th or early 3rd century B.C.,Etruscan,Iron,Other: 21 5/8 in. (54.9 cm),Miscellaneous-Iron,Rogers Fund 1903,03.24.15
Iron andiron,Late Classical or Hellenistic,late 4th or early 3rd century B.C.,Etruscan,Iron,Other: 14 1/16 in. (35.7 cm),Miscellaneous-Iron,Rogers Fund 1903,03.24.16
Iron andiron,Late Classical or Hellenistic,late 4th or early 3rd century B.C.,Etruscan,Iron,Other: 15 3/4 in. (40 cm),Miscellaneous-Iron,Rogers Fund 1903,03.24.17
Iron andiron,Late Classical or Hellenistic,late 4th or early 3rd century B.C.,Etruscan,Iron,Other: 14 15/16 in. (37.9 cm),Miscellaneous-Iron,Rogers Fund 1903,03.24.18
Iron andiron,Late Classical or Hellenistic,late 4th or early 3rd century B.C.,Etruscan,Iron,Other: 20 1/16 in. (51 cm),Miscellaneous-Iron,Rogers Fund 1903,03.24.19
Bronze cista (toiletries box),Hellenistic,early 3rd century B.C.,Etruscan or Praenestine,Bronze,H. 7 5/8 in. (19.4 cm),Bronzes,Rogers Fund 1903,03.24.2
Bronze candelabrum,Hellenistic,early 3rd century B.C.,Etruscan,Iron,H. 42 in. (106.7 cm),Bronzes,Rogers Fund 1903,03.24.20
Bronze candelabrum,Hellenistic,early 3rd century B.C.,Etruscan,Bronze and iron,H.: 34 3/4 in. (88.3 cm),Bronzes,Rogers Fund 1903,03.24.21
Terracotta oinochoe (jug),Hellenistic,ca. 300 B.C.,Etruscan,Terracotta; Malacena black-glaze,H. 8 1/16 in. (20.5 cm),Vases,Rogers Fund 1903,03.24.22
Terracotta kantharos (drinking cup),Hellenistic,ca. 300 B.C.,Etruscan,Terracotta; Malacena black-glaze,H. 8 1/16 in. (20.5 cm); diameter of mouth  5 13/16 in. (14.8 cm),Vases,Rogers Fund 1903,03.24.23
Terracotta oinochoe (jug),Hellenistic,early 3rd century B.C.,Etruscan,Terracotta; utilitarian ware,H. 8 5/8 in. (21.9 cm),Vases,Rogers Fund 1903,03.24.24
Terracotta kantharos (drinking cup),Hellenistic,early 3rd century B.C.,Etruscan,Terracotta,H. 3 15/16 in. (10 cm),Vases,Rogers Fund 1903,03.24.25
Terracotta cup,Hellenistic,early 3rd century B.C.,Etruscan,Terracotta,H. 2 1/4 in. (5.7 cm),Vases,Rogers Fund 1903,03.24.26
Terracotta oinochoe (jug),Hellenistic,early 3rd century B.C.,Etruscan,Terracotta,H. 3 9/16 in. (9.1 cm),Vases,Rogers Fund 1903,03.24.27
Terracotta two-handled cup,Hellenistic,early 3rd century B.C.,Etruscan,Terracotta,H. 2 5/16 in. (5.9 cm),Vases,Rogers Fund 1903,03.24.28
Terracotta olpe (one-handled jug),Hellenistic,early 3rd century B.C.,Etruscan,Terracotta,H. 3 15/16 in. (10 cm),Vases,Rogers Fund 1903,03.24.29
Bronze mirror,Hellenistic,early 3rd century B.C.,Etruscan,Bronze,H. 11 in. (27.9 cm); diameter 5 11/16 in. (14.5 cm),Bronzes,Rogers Fund 1903,03.24.3
Set of twelve red terracotta balls,Late Classical or Hellenistic,late 4th or early 3rd century B.C.,Etruscan,Terracotta,greatest diameter  1 in. (2.5 cm),Terracottas,Rogers Fund 1903,03.24.30
Terracotta Little Master cup,Archaic,ca. 565–550 B.C.,Greek Attic black-figure,Terracotta; black-figure,H. 6 5/8 in. (16.8 cm) diameter  9 7/8 in. (25.1 cm),Vases,Rogers Fund 1903,03.24.31
Terracotta Little Master cup,Archaic,ca. 550–525 B.C.,Greek Attic,Terracotta; black-figure,diameter  4 1/2 in. (11.4 cm),Vases,Rogers Fund 1903,03.24.32
Terracotta pyxis (box with lid),Archaic,ca. 550–525 B.C.,Etruscan,Terracotta; buccheroid impasto,Other (height without cover): 8 1/4in. (21cm),Vases,Rogers Fund 1903,03.24.33a b
Gold ring,Late Classical or Hellenistic,late 4th or early 3rd century B.C.,Etruscan,Gold,Diam.: 1 1/4 in. (3.2 cm),Gold and Silver,Rogers Fund 1903,03.24.34
